iter	Passed	Remaining
1572	3210	2912
1573	3212	2910
1574	3214	2907
1575	3216	2905
1576	3217	2903
1577	3219	2901
1578	3221	2899
1579	3223	2897
1580	3225	2894
1581	3227	2892
1582	3228	2890
1583	3231	2888
1584	3233	2886
1585	3235	2884
1586	3237	2882
1587	3238	2879
1588	3240	2877
1589	3242	2875
1590	3244	2873
1591	3246	2871
1592	3248	2869
1593	3250	2866
1594	3252	2864
1595	3254	2862
1596	3255	2860
1597	3257	2858
1598	3259	2856
1599	3261	2853
1600	3263	2851
1601	3265	2849
1602	3267	2847
1603	3268	2845
1604	3270	2842
1605	3272	2840
1606	3274	2838
1607	3276	2836
1608	3278	2834
1609	3280	2832
1610	3282	2829
1611	3284	2827
1612	3286	2825
1613	3287	2823
1614	3289	2821
1615	3291	2818
1616	3293	2816
1617	3295	2814
1618	3296	2812
1619	3299	2810
1620	3301	2808
1621	3302	2806
1622	3304	2803
1623	3306	2801
1624	3308	2799
1625	3310	2797
1626	3312	2795
1627	3314	2793
1628	3316	2791
1629	3318	2789
1630	3320	2786
1631	3322	2785
1632	3324	2782
1633	3326	2780
1634	3327	2778
1635	3330	2776
1636	3332	2774
1637	3334	2772
1638	3336	2770
1639	3338	2768
1640	3339	2765
1641	3341	2763
1642	3343	2761
1643	3345	2759
1644	3348	2758
1645	3350	2755
1646	3352	2753
1647	3354	2751
1648	3356	2749
1649	3358	2747
1650	3360	2745
1651	3362	2743
1652	3364	2741
1653	3366	2739
1654	3368	2737
1655	3370	2735
1656	3372	2733
1657	3374	2731
1658	3376	2729
1659	3378	2726
1660	3379	2724
1661	3381	2722
1662	3383	2720
1663	3385	2718
1664	3387	2716
1665	3389	2714
1666	3391	2711
1667	3393	2709
1668	3395	2707
1669	3397	2705
1670	3398	2703
1671	3400	2701
1672	3402	2698
1673	3404	2696
1674	3406	2694
1675	3408	2692
1676	3410	2690
1677	3412	2688
1678	3414	2686
1679	3416	2684
1680	3418	2682
1681	3420	2680
1682	3422	2678
1683	3424	2676
1684	3426	2673
1685	3428	2671
1686	3429	2669
1687	3431	2667
1688	3433	2665
1689	3435	2663
1690	3437	2661
1691	3439	2659
1692	3441	2656
1693	3443	2654
1694	3445	2652
1695	3447	2650
1696	3449	2648
1697	3451	2646
1698	3453	2644
1699	3455	2642
1700	3456	2639
1701	3458	2637
1702	3460	2635
1703	3462	2633
1704	3464	2631
